GEO;LOC;DA;EJAFUNG1;EJAFUNG2;EJAFUNG3;EJAFUNG4;EJAFUNG5;EJAMED1;EJAMED2;EJAMED3;EJAMED4;EJAMED5
Sul;Urbana;Privada;29,8;1,7;60,6;2,7;5,2;50,8;3,5;38,8;4,2;2,7
Sul;Rural;Privada;31,3;0,0;59,9;2,0;6,8;0,0;0,0;0,0;100,0;0,0
Sul;Total;Pública;54,7;0,8;39,5;2,1;2,9;70,3;0,8;23,3;2,2;3,4
Sul;Urbana;Pública;55,5;0,8;38,9;2,1;2,7;71,4;0,8;22,9;1,9;3,0
Sul;Rural;Pública;41,2;0,4;49,7;1,7;7,0;43,7;0,7;34,1;8,8;12,7
Centro-Oeste;Total;Total;34,4;1,1;58,0;1,7;4,8;50,2;2,5;40,9;2,2;4,2
Centro-Oeste;Urbana;Total;35,9;1,1;58,1;1,6;3,3;53,8;2,7;40,1;2,3;1,1
Centro-Oeste;Rural;Total;20,6;0,8;56,9;2,4;19,3;24,3;1,3;46,9;1,5;26,0
Centro-Oeste;Total;Federal;34,0;0,4;47,9;2,1;7,8;78,3;13,1;5,3;2,9;0,4
Centro-Oeste;Urbana;Federal;34,0;0,4;47,9;2,1;7,8;78,3;13,0;5,5;2,9;0,3
Centro-Oeste;Rural;Federal;34,0;0,4;47,9;2,1;7,8;79,4;14,7;2,9;3,0;0,0
Centro-Oeste;Total;Estadual;41,0;1,6;51,6;1,8;4,0;52,1;2,3;38,8;2,1;4,7
Centro-Oeste;Urbana;Estadual;44,3;1,7;50,5;1,7;1,8;56,9;2,6;37,3;2,2;1,0
Centro-Oeste;Rural;Estadual;23,4;1,0;57,6;2,1;15,9;23,6;1,1;47,5;1,4;26,4
Centro-Oeste;Total;Municipal;37,3;0,7;56,3;2,3;3,4;26,2;0,9;72,4;0,0;0,5
Centro-Oeste;Urbana;Municipal;39,4;0,8;56,4;2,2;1,2;26,2;0,9;72,4;0,0;0,5
Centro-Oeste;Rural;Municipal;12,5;0,0;54,6;3,2;29,7;54,45;0,8;36,0;2,3;2,2
Centro-Oeste;Total;Privada;16,9;0,6;73,3;0,7;8,5;34,2;1,5;59,0;3,1;2,2
Centro-Oeste;Urbana;Privada;16,9;0,6;73,3;0,7;8,5;34,2;1,5;59,0;3,1;2,2
Centro-Oeste;Rural;Privada;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
Centro-Oeste;Total;Pública;39,5;1,3;53,5;2,0;3,7;52,5;2,7;38,3;2,1;4,4
Centro-Oeste;Urbana;Pública;42,2;1,3;53,0;2,0;1,5;57,0;2,9;36,9;2,2;1,0
Centro-Oeste;Rural;Pública;20,6;0,8;56,9;2,4;19,3;24,3;1,3;46,9;1,5;26,0
Rondônia;Total;Total;35,1;0,5;61,4;1,1;1,9;54,2;0,6;42,4;2,2;0,6
Rondônia;Urbana;Total;35,7;0,5;61,1;1,2;1,5;54,1;0,6;42,5;2,2;0,6
